iter	RMSE
0	0.3689188205
1	0.3630502
2	0.3573958222
3	0.3527625841
4	0.3482320079
5	0.343650139
6	0.3399657122
7	0.3359739566
8	0.3320024992
9	0.3286995053
10	0.3252405659
11	0.322090623
12	0.3193229001
13	0.3165965038
14	0.3140770821
15	0.3118779117
16	0.3098140392
17	0.3076936311
18	0.3055703687
19	0.303479835
20	0.3019612128
21	0.3001069169
22	0.2984774294
23	0.2973540536
24	0.2957032651
25	0.2943208246
26	0.2929483721
27	0.2917843337
28	0.2906307792
29	0.2894781029
30	0.2885974477
31	0.2875509687
32	0.2864266063
33	0.2854385813
34	0.2844206639
35	0.2836603873
36	0.2827705004
37	0.2820772862
38	0.2811596965
39	0.2804153261
40	0.2796151822
41	0.2788645072
42	0.2780354587
43	0.2773072474
44	0.2767348278
45	0.2761732361
46	0.2750215759
47	0.2743804657
48	0.2733125183
49	0.2728712332
50	0.272237174
51	0.2717423217
52	0.2713159417
53	0.2708221006
54	0.2702520062
55	0.2700113175
56	0.269607486
57	0.2690988634
58	0.2687474257
59	0.2680775972
60	0.267623344
61	0.2669145853
62	0.2664933312
63	0.2662178193
64	0.2658251437
65	0.2654674627
66	0.2651271401
67	0.2648831372
68	0.2643292474
69	0.2640267292
70	0.2637515681
71	0.2632820164
72	0.2630418459
73	0.2627231196
74	0.2624329079
75	0.2619754473
76	0.2616196889
77	0.2612221032
78	0.2610222733
79	0.2607878902
80	0.2606001582
81	0.2603178907
82	0.2601534931
83	0.2599410507
84	0.2595810225
85	0.2594497005
86	0.2592868414
87	0.258709101
88	0.2584670427
89	0.2582677786
90	0.2581073656
91	0.2578711949
92	0.2576693126
93	0.2572538736
94	0.2569487446
95	0.2567721035
96	0.2562661214
97	0.2557968446
98	0.2556620549
99	0.255412723
100	0.2552932678
101	0.2549508876
102	0.2548533989
103	0.2546559489
104	0.25433194
105	0.2541921121
106	0.2539186819
107	0.2536965558
108	0.2535558687
109	0.2533051715
110	0.2531965645
111	0.2527850278
112	0.2524705898
113	0.252309144
114	0.2517597434
115	0.2515061875
116	0.2512587284
117	0.25107912
118	0.251000947
119	0.2508974861
120	0.2507150324
121	0.2503394141
122	0.2496283599
123	0.2494826702
124	0.2494011673
125	0.2491592809
126	0.2490388172
127	0.2487700701
128	0.248482098
129	0.2479830196
130	0.2476832741
131	0.2474689743
132	0.2472332754
133	0.2468808499
134	0.246691061
135	0.2465605512
136	0.246306438
137	0.246197699
138	0.2457522187
139	0.2455142325
140	0.2451282949
141	0.2449827379
142	0.2448737693
143	0.2447708199
144	0.2446744966
145	0.2445598542
146	0.2444550036
147	0.2442800245
148	0.2440150492
149	0.2438961798
150	0.2436762113
151	0.2434946019
152	0.2428914099
153	0.2427389089
154	0.2425295395
155	0.2421777029
156	0.2418736744
157	0.2416709932
158	0.2415062766
159	0.2413335066
160	0.2411912325
161	0.2410140626
162	0.2408736896
163	0.2407601066
164	0.2405822959
165	0.2403332281
166	0.240263692
167	0.2401763468
168	0.2400632196
169	0.2398579167
170	0.2397507037
171	0.2396023228
172	0.239411134
173	0.2391801718
174	0.2390470444
175	0.2388992816
176	0.2387151007
177	0.2385513529
178	0.238292021
179	0.2381220556
180	0.237973551
181	0.2374799676
182	0.2372613488
183	0.2371402672
184	0.2368970809
185	0.236761763
186	0.2366375702
187	0.2364935317
188	0.2363591668
189	0.2360468177
190	0.2358579812
191	0.235639954
192	0.2354701313
193	0.2353209383
194	0.235193595
195	0.2350725484
196	0.2349302442
197	0.2348410579
198	0.2346390322
199	0.2344448833
200	0.2343132289
201	0.2341314899
202	0.2338988806
203	0.2338248347
204	0.2336409247
205	0.2334727974
206	0.2332943624
207	0.2330918653
208	0.2330045738
209	0.2329747714
210	0.2328956876
211	0.232818954
212	0.2326112054
213	0.2325423392
214	0.2325004853
215	0.2323147327
216	0.2322070957
217	0.2321056682
218	0.2319935112
219	0.2317855709
220	0.231678574
221	0.2316469074
222	0.2316022333
223	0.2315095147
224	0.2313645797
225	0.2313272196
226	0.231286158
227	0.231051763
228	0.2308928876
229	0.2307114728
230	0.2305288352
231	0.2303645167
232	0.2302298742
233	0.230194929
234	0.2299830971
235	0.2298866342
236	0.2298531091
237	0.2296814889
238	0.2296438707
239	0.2296152058
240	0.2295513471
241	0.2293777252
242	0.2292316004
243	0.2289877049
244	0.2288260157
245	0.2285916363
246	0.228565257
247	0.2284548685
248	0.2284098066
249	0.2283707656
250	0.228209984
251	0.2281348046
252	0.2279828135
253	0.227849878
254	0.2276221057
255	0.2275155381
256	0.2273919196
257	0.2272862182
258	0.2271700338
259	0.2270658083
260	0.2268180029
261	0.2267547158
262	0.2266282417
263	0.2265191864
264	0.2264418475
265	0.2263803058
266	0.2262229425
267	0.2261969766
268	0.2261464716
269	0.2261220165
270	0.2260852949
271	0.22594584
272	0.2258152202
273	0.2257424838
274	0.2257189335
275	0.225645334
276	0.2254476769
277	0.2254205455
278	0.2252468109
279	0.2251334956
280	0.2250029582
281	0.2249820599
282	0.2249505398
283	0.2248392114
284	0.224736977
285	0.2245527415
286	0.2244480085
287	0.2243681666
288	0.2243025295
289	0.2241860213
290	0.2241244803
291	0.2240188091
292	0.2239908392
293	0.2238560512
294	0.2237576442
295	0.2237016239
296	0.2235612288
297	0.2234551161
298	0.2233245209
299	0.2231992788
